,Fullname,IsCenter,ID
294,枣庄中联水泥有限公司,False,294
295,青州中联水泥有限公司,False,295
296,青岛中联混凝土工程有限公司,False,296
297,青岛即墨中联水泥有限公司,False,297
298,新疆天山筑友混凝土有限责任公司,False,298
299,新安中联万基水泥有限公司,False,299
300,江苏中联铸本混凝土有限公司,False,300
301,泰山中联水泥有限公司,False,301
302,泰安中联水泥有限公司,False,302
303,东平中联水泥有限公司,False,303
304,湖南株洲南方新材料科技有限公司,False,304
305,湖南韶峰南方水泥有限公司,False,305
306,湖南古丈南方水泥有限公司,False,306
307,湖南桃江南方水泥有限公司,False,307
308,湖南南方水泥集团有限公司,False,308
309,桂林南方水泥有限公司,False,309
310,广西南方水泥有限公司,False,310
311,赤峰云铜有色金属有限公司,False,311
312,中铜东南铜业有限公司,False,312
313,云南迪庆矿业开发有限责任公司,False,313
314,宜昌新洋丰肥业有限公司,False,314
315,湖北丰锂新能源科技有限公司,False,315
316,圣象集团有限公司,False,316
317,大亚(江苏)地板有限公司,False,317
318,中粮集团有限公司,False,318
319,中粮生化(泰国)有限公司,False,319
320,河南神火发电有限公司,False,320
321,河南神火兴隆矿业有限责任公司,False,321
322,河南省许昌新龙矿业有限责任公司,False,322
323,神隆宝鼎新材料有限公司,False,323
324,上海神火铝箔有限公司,False,324
325,新疆神火炭素制品有限公司,False,325
326,河南神火国贸有限公司,False,326
327,云南神火铝业有限公司,False,327
328,广西龙州新翔生态铝业有限公司,False,328
329,新疆神火煤电有限公司,False,329
330,河北冀中新材料有限公司,False,330
331,新疆白鹭纤维有限公司,False,331
332,上海首钢钢铁贸易有限公司,False,332
333,首钢(青岛)钢业有限公司,False,333
334,宁波首钢浙金钢材有限公司,False,334
335,云锡(红河)投资发展有限公司,False,335
336,云锡(德国)资源有限公司,False,336
337,云南锡业资源(美国)有限公司,False,337
338,云锡(深圳)融资租赁有限公司,False,338
339,云锡贸易(上海)有限公司,False,339
340,云南锡业锡材有限公司,False,340
341,郴州云湘矿冶有限责任公司,False,341
342,云南锡业锡化工材料有限责任公司,False,342
343,山西蓝焰煤层气集团有限责任公司,False,343
344,广东合捷国际供应链有限公司,False,344
345,霍州煤电集团河津腾晖煤业有限责任公司,False,345
346,古交西山发电有限公司,False,346
347,山西临汾西山能源有限责任公司,False,347
348,山西西山华通水泥有限公司,False,348
349,武乡西山发电公司,False,349
350,安徽诚志显示玻璃有限公司,False,350
351,南京诚志清洁能源有限公司,False,351
352,南京诚志永清能源科技有限公司,False,352
353,陕西长青能源化工有限公司,False,353
354,安徽中晟金属球团有限责任公司,False,354
355,安徽金日晟矿业有限责任公司,False,355
356,内蒙古中谷矿业有限责任公司,False,356
357,内蒙古乌海化工有限公司,False,357
358,西部环保有限公司,False,358
359,包头市新达茂稀土有限公司,False,359
360,内蒙古蒙华海勃湾发电有限责任公司,False,360
361,江苏金材科技有限公司,False,361
362,安顺久联民爆有限责任公司,False,362
363,贵州盘江民爆有限公司,False,363
364,保利新联爆破工程集团有限公司,False,364
365,贵阳久联化工有限责任公司,False,365
366,甘肃久联民爆器材有限公司,False,366
367,贵州开源爆破工程有限公司,False,367
368,遵义市绿联公共设施管理有限公司,False,368
369,山西保晋工程有限公司,False,369
370,西藏中金新联爆破工程有限公司,False,370
371,盘化(济南)化工有限公司,False,371
372,保利生态环境工程有限责任公司,False,372
373,浙江德荣化工有限公司,False,373
374,广东德美高新材料有限公司,False,374
375,四川亭江新材料股份有限公司,False,375
376,佛山市顺德区德伟创科技有限公司,False,376
377,佛山市高明区东盈纺织有限公司,False,377
378,广东东岳纺织有限公司,False,378
379,安徽瑞泰新材料科技有限公司,False,379
380,河南瑞泰耐火材料科技有限公司,False,380
381,宁国市开源电力耐磨材料公司,False,381
382,宜兴瑞泰耐火材料有限公司,False,382
383,济宁黑猫炭黑有限责任公司,False,383
384,乌海黑猫炭黑有限责任公司,False,384
385,山东太阳宏河纸业有限公司,False,385
386,南宁太阳纸业有限公司,False,386
387,广西太阳纸业有限公司,False,387
388,太阳纸业(香港)有限公司,False,388
389,太阳纸业沙湾有限公司,False,389
390,太阳纸业控股老挝有限责任公司,False,390
391,中材科技(成都)有限公司,False,391
392,泰山玻璃纤维有限公司,False,392
393,中材锂膜(南京)有限公司,False,393
394,中材锂膜(常德)有限公司,False,394
395,中材膜材料越南有限公司,False,395
396,内蒙古中锂新材料有限公司,False,396
397,中材锂膜有限公司,False,397
398,中材科技(锡林郭勒)风电叶片有限公司,False,398
399,泰山玻璃纤维有限公司和泰山玻璃纤维邹城有限公司,False,399
400,泰山玻璃纤维邹城有限公司,False,400
401,江苏恒州特种玻璃纤维材料有限公司,False,401
402,中材锂膜(宁乡)有限公司,False,402
403,中材科技(邯郸)风电叶片有限公司,False,403
404,中材科技(阜宁)风电叶片有限公司,False,404
405,中材科技(阳江)风电叶片有限公司,False,405
406,中材科技(榆林)风电叶片有限公司,False,406
407,中材科技(伊吾)风电叶片有限公司,False,407
408,新疆圣雄水泥有限公司,False,408
409,新疆中泰化学托克逊能化有限公司,False,409
410,库尔勒中泰纺织科技有限公司,False,410
411,巴州金富特种纱业有限公司,False,411
412,新疆华泰重化工有限责任公司,False,412
413,新疆中泰化学阜康能源有限公司,False,413
414,新疆中泰矿冶有限公司,False,414
415,新疆金晖兆丰焦化有限公司,False,415
416,新疆蓝天石油化学物流有限责任公司,False,416
417,新疆中泰亨惠医疗卫材股份有限公司,False,417
418,新疆天雨煤化集团有限公司,False,418
419,新疆新冶能源化工有限公司,False,419
420,中泰大佑物宇(上海)国际物流有限公司,False,420
421,阿拉尔市中泰纺织科技有限公司,False,421
422,新疆金晖兆丰能源股份有限公司,False,422
423,新疆中泰金晖科技有限公司,False,423
424,新疆兴泰纤维科技有限公司,False,424
425,新疆威振石化有限公司,False,425
426,新疆中泰进出口贸易有限公司,False,426
427,中泰国际发展(香港)有限公司,False,427
428,新疆富丽震纶棉纺有限公司,False,428
429,青岛齐泰科技有限公司,False,429
430,新疆美克化工股份有限公司,False,430
431,新疆中泰(集团)有限责任公司,False,431
432,浙江泰信物产有限公司,False,432
433,上海中泰多经国际贸易有限责任公司,False,433
434,新疆圣雄电石有限公司,False,434
435,新疆圣雄氯碱有限公司,False,435
436,新疆圣雄能源股份有限公司,False,436
437,新疆库尔勒中泰石化有限责任公司,False,437
438,新疆中泰海鸿纺织印染有限公司,False,438
439,新疆中泰新鑫化工科技股份有限公司,False,439
440,河南恒星钢缆股份有限公司,False,440
441,巩义市恒星金属制品有限公司,False,441
442,广西自贸区宝畅联达新材料有限公司,False,442
443,内蒙古恒星化学有限公司,False,443
444,西安天力金属复合材料股份有限公司,False,444
445,西安菲尔特金属过滤材料股份有限公司,False,445
446,西安西材三川智能制造有限公司,False,446
447,西部钛业有限责任公司,False,447
448,西安庄信新材料科技有限公司,False,448
449,西安诺博尔稀贵金属材料股份有限公司,False,449
450,湖南新龙矿业有限责任公司,False,450
451,湖南黄金洞矿业有限责任公司,False,451
452,湖南黄金珠宝实业有限公司,False,452
453,湖南省中南锑钨工业贸易有限公司,False,453
454,焦作东锆新材料有限公司,False,454
455,焦作市维纳科技有限公司,False,455
456,乐昌东锆新材料有限公司,False,456
457,云南东锆新材料有限公司,False,457
458,江苏鑫海高导新材料有限公司,False,458
459,湖南顶立科技股份有限公司,False,459
460,安徽鑫海高导新材料有限公司,False,460
461,清远楚江铜业有限公司,False,461
462,安徽楚江高新电材有限公司,False,462
463,江苏天鸟高新技术股份有限公司,False,463
464,芜湖楚江合金铜材有限公司,False,464
465,芜湖天鸟高新技术有限公司,False,465
466,安徽楚江高精铜带有限公司,False,466
467,清远楚江高精铜带有限公司,False,467
468,安徽楚江特钢有限公司,False,468
469,安徽楚江精密带钢有限公司,False,469
470,丹阳市海弘新材料有限公司,False,470
471,安徽楚江高新电材供销有限公司,False,471
472,芜湖楚江合金铜材供销有限公司,False,472
473,上海海亮铜业有限公司,False,473
474,海亮集团有限公司,False,474
475,HMECopperGermanyGmbHHMEBrassGermanyGmBhHMEBrassFranceSAS,False,475
476,HMEBrassItlaySPA,False,476
477,海亮(安徽)铜业有限公司,False,477
478,重庆海亮铜业有限公司,False,478
479,香港海亮铜贸易有限公司,False,479
480,海亮(越南)铜业有限公司,False,480
481,海亮奥托铜管(广东)有限公司,False,481
482,香港海亮控股有限公司,False,482
483,海亮(新加坡)有限公司,False,483
484,甘肃海亮新能源材料有限公司,False,484
485,广东海亮铜业有限公司,False,485
486,子公司,False,486
487,控股经销商,False,487
488,东华能源(宁波)新材料有限公司,False,488
489,南京东华能源燃气有限公司,False,489
490,东华能源(张家港)新材料有限公司,False,490
491,广西天盛港务有限公司,False,491
492,东华能源(新加坡)国际贸易有限公司,False,492
493,宁波百地年液化石油气有限公司,False,493
494,东华能源(茂名)有限公司,False,494
495,西藏昌都市翔晨镁业有限公司,False,495
496,云南濮耐昆钢高温材料有限公司,False,496
497,上海宝明耐火材料有限公司,False,497
498,营口濮耐镁质材料有限公司,False,498
499,深圳市赫德工程担保有限公司,False,499
500,新疆恒远爆破工程有限公司,False,500
501,安徽省宁国市江南油相材料有限公司,False,501
502,安徽江南爆破工程有限公司,False,502
503,浙江盾安新能源发展有限公司,False,503
504,新疆江南易泰建材有限公司,False,504
505,四川致远锂业有限公司,False,505
506,盛威致远国际有限公司,False,506
507,遂宁盛新锂业有限公司,False,507
508,四川盛威锂业有限公司,False,508
509,河北威利邦木业有限公司,False,509
510,台山市威利邦木业有限公司,False,510
511,封开县威利邦木业有限公司,False,511
512,联化科技(德州)有限公司,False,512
513,FineOrganicLimited,False,513
514,联化科技(台州)有限公司,False,514
515,江苏联化科技有限公司,False,515
516,联化科技(临海)有限公司,False,516
517,联化科技小微企业创业园项目按揭贷款客户,False,517
518,黄岩联科小额贷款股份有限公司,False,518
519,湖南利尔生物科技有限公司,False,519
520,四川福尔森国际贸易有限公司,False,520
521,湖南兴同化学科技有限公司,False,521
522,鹤壁市赛科化工有限公司,False,522
523,湖南比德生化科技股份有限公司,False,523
524,湖南百典生物科技有限公司,False,524
525,荆州三才堂化工科技有限公司,False,525
526,四川利尔作物科学有限公司,False,526
527,广安利尔化学有限公司,False,527
528,广安绿源循环科技有限公司,False,528
529,佰思特(重庆)建筑工程有限公司,False,529
530,惠州市新庞达防水工程有限公司,False,530
531,湖南拓天建材科技股份有限公司,False,531
532,湖南美创系统门窗有限责任公司,False,532
533,湖南合创建设有限公司,False,533
534,湖南清龙建材有限公司,False,534
535,湖南由由乐建筑劳务有限公司,False,535
536,湖北禹诺建筑防水工程有限公司,False,536
537,惠州民安防水保温科技有限公司,False,537
538,浙江雨晴防水技术有限公司,False,538
539,东莞市鸿扬文化传播有限公司,False,539
540,珠海德尔众建筑材料有限公司,False,540
541,上海渡伟建筑防水工程有限公司,False,541
542,深圳市华芝净化科技有限公司,False,542
543,宁波雨虹防水技术有限公司,False,543
544,杭州月阳防水工程有限公司,False,544
545,浙江宏雅建筑防水装饰工程有限公司,False,545
546,浙江元启防水工程有限公司,False,546
547,陕西秦今阳建筑工程有限公司,False,547
548,惠州市善修建筑工程有限公司,False,548
549,成都聚祥义建筑工程有限公司,False,549
550,衡阳越大防水工程有限公司,False,550
551,杭州质优美建筑工程有限公司,False,551
552,建德东方雨虹防水工程有限公司,False,552
553,杭州昀朗建筑防水工程有限公司,False,553
554,浙江中昆建筑材料有限公司,False,554
555,浙江合炬建筑科技有限公司,False,555
556,浙江鼎建建设工程有限公司,False,556
557,杭州盖福防水工程有限公司,False,557
558,西安有巢防水科技有限公司,False,558
559,湖南聚丰建筑工程有限公司,False,559
560,湖南防保涂建材有限公司,False,560
561,湖南雨虹建筑工程有限公司,False,561
562,湖南同瑞程建材有限公司,False,562
563,湖南星耀防水工程有限公司,False,563
564,怀化市捷利建设工程有限公司,False,564
565,四川虹人防水工程有限公司,False,565
566,滨州东方雨虹防水工程有限公司,False,566
567,东营市驰勇建材有限公司,False,567
568,徐州卧牛山新型防水材料有限公司,False,568
569,东营奥利防水工程有限公司,False,569
570,芜湖东方雨虹建筑材料有限公司,False,570
571,深圳东方雨虹防水工程有限公司,False,571
572,唐山东方雨虹防水技术有限责任公司,False,572
573,青岛东方雨虹建筑材料有限公司,False,573
574,杭州东方雨虹建筑材料有限公司,False,574
575,上海东方雨虹防水技术有限责任公司,False,575
576,上海东方雨虹防水工程有限公司,False,576
577,荆门东方雨虹建筑材料有限公司,False,577
578,锦州东方雨虹建筑材料有限责任公司,False,578
579,河南东方雨虹建筑材料有限公司,False,579
580,昆明风行防水材料有限公司,False,580
581,广州孚达保温隔热材料有限公司,False,581
582,四川东方雨虹防水工程有限公司,False,582
583,滁州天鼎丰非织造布有限公司,False,583
584,江西东方雨虹建筑材料有限公司,False,584
585,吉林东方雨虹建筑材料有限公司,False,585
586,广东东方雨虹建材科技有限公司,False,586
587,天津虹致新材料有限公司,False,587
588,岳阳东方雨虹防水技术有限责任公司,False,588
589,惠州东方雨虹建筑材料有限责任公司,False,589
590,广东东方雨虹建筑材料有限公司,False,590
591,咸阳东方雨虹建筑材料有限公司,False,591
592,广东东方雨虹防水工程有限公司,False,592
593,陕西高端防水技术工程有限公司,False,593
594,新疆天禄和贸易有限公司,False,594
595,滨州市惠凯建筑工程有限公司,False,595
596,江苏帝邦建设工程有限公司第三分公司,False,596
597,聊城市诚裕建筑材料有限公司,False,597
598,临沂东方雨虹防水工程有限公司,False,598
599,临沂鑫达防水工程有限公司,False,599
600,龙口鸿桥国际贸易有限公司,False,600
601,杭州潇腾防水材料有限公司,False,601
602,天长市肖溪建筑防水工程有限公司,False,602
603,淄博锦鸿防水工程有限公司,False,603
604,荆门东方雨虹防水工程有限公司,False,604
605,青岛烨桓达防水工程有限公司,False,605
606,青岛博泓雨工程有限公司,False,606
607,山东兴华防水保温工程有限公司,False,607
608,赣州市润邦建材有限公司,False,608
609,赣州永成防水工程有限公司,False,609
610,赣州佳禹防水工程有限公司,False,610
611,青岛恒昌泽建设工程有限公司,False,611
612,江西彩虹环境科技有限公司,False,612
613,中螭工程技术有限公司枣庄分公司,False,613
614,枣庄东方宇洪建筑有限公司,False,614
615,东营市东方雨虹防水工程有限公司,False,615
616,广东禹昊房屋修缮有限公司,False,616
617,菏泽东方雨虹防水工程有限公司,False,617
618,济宁安都建筑劳务有限公司,False,618
619,焦作禹宏建筑工程有限公司,False,619
620,兰陵厚博建筑防水工程有限公司,False,620
621,临沂市飞亚建筑工程安装有限公司,False,621
622,临沂市金淼防水工程有限公司,False,622
623,临沂文鹏防水材料有限公司,False,623
624,临沂中宝防水保温工程有限公司,False,624
625,枣庄市润虹建材有限公司,False,625
626,曲阜科能建筑工程有限公司,False,626
627,山东杰西卡信息科技有限公司,False,627
628,山东金凯盛防水建材有限公司,False,628
629,山东惊合防水工程有限公司,False,629
630,山东森瑞建筑工程有限公司,False,630
631,山东省博兴县博晨新材料有限公司,False,631
632,山东毅泰防水科技有限公司,False,632
633,寿光市恒淼经贸有限公司,False,633
634,潍坊鲁潍宏远防水工程有限公司,False,634
635,烟台高俊防水保温工程有限公司,False,635
636,厦门日日升建筑材料有限公司,False,636
637,赣州市金磊防水工程有限公司,False,637
638,新泰市一新防水工程有限公司,False,638
639,无锡市东方雨虹防水工程有限公司,False,639
